listing_id,dealer_id,make,model,year,price,mileage,color,transmission,listed_on,seller,flag_any
L-1001,D-01,Toyota,Camry,2015,12500.0,78000.0,Silver,Automatic,2026-08-01,CarMax,False
L-1002,,Toyota,Corolla,2018,14750.0,52300.0,Unknown,Automatic,2026-08-03,Private,False
L-1003,,Honda,Civic,2105,9800.0,96000.0,Blue,Manual,2026-08-05,Private,True
L-1004,D-02,Toyota,RAV4,2019,21000.0,25787.0,Red,Automatic,2026-08-05,Dealer,False
L-1005,D-01,Toyota,Camry,2016,11900.0,88000.0,Unknown,Automatic,2026-08-07,CarMax,False
L-1006,,Ford,F-150,2017,1.0,120000.0,White,Automatic,2026-08-08,Auction,True
L-1007,,Honda,Accord,2017,16200.0,-4500.0,Unknown,Manual,2026-08-09,Private,True
L-1008,D-03,Ford,Escape,2020,19450.0,33000.0,Unknown,Automatic,2026-08-10,Dealer,False
L-1009,,Chevrolet,Malibu,2014,0.0,142000.0,Gray,Automatic,2026-08-11,Private,True
L-1010,D-04,Honda,Civic,2018,17300.0,44000.0,Black,Manual,2026-08-12,Dealer,False
L-1011,,Nissan,Altima,2016,10750.0,91200.0,Silver,Automatic,2026-08-12,Private,False
L-1012,D-05,Honda,CR-V,2019,23100.0,38400.0,White,Automatic,2026-08-13,Dealer,False
L-1013,D-01,Toyota,Highlander,2015,18900.0,104000.0,Unknown,Automatic,2026-08-13,CarMax,False
L-1014,,Ford,Focus,2013,6400.0,135500.0,Blue,Manual,2026-08-14,Private,False
L-1015,D-02,Chevrolet,Equinox,2018,16000.0,37904.0,Red,Automatic,2026-08-14,Dealer,False
L-1016,,Toyota,Camry,2017,14200.0,72000.0,Unknown,Automatic,2026-08-15,Private,False
L-1017,D-01,Honda,Odyssey,2016,15750.0,98300.0,Gray,Automatic,2026-08-15,CarMax,False
L-1018,D-03,Nissan,Rogue,2020,21800.0,29000.0,Black,Automatic,2026-08-16,Dealer,False
L-1019,,Ford,Fusion,2014,7250.0,128000.0,Unknown,Manual,2026-08-16,Private,False
L-1020,D-04,Toyota,Tacoma,2019,32400.0,45600.0,Silver,Manual,2026-08-17,Dealer,False
L-1021,,Hyundai,Elantra,2018,13300.0,58000.0,Blue,Automatic,2026-08-17,Private,False
L-1022,D-01,Honda,Pilot,2017,20100.0,83700.0,Unknown,Automatic,2026-08-18,CarMax,False
L-1023,,Chevrolet,Silverado,2016,24900.0,112000.0,White,Automatic,2026-08-18,Auction,False
L-1024,D-05,Toyota,Corolla,2020,18600.0,31200.0,Gray,Automatic,2026-08-19,Dealer,False
L-1025,,Ford,Explorer,2015,2.0,149000.0,Black,Automatic,2026-08-19,Auction,True
L-1026,,Nissan,Sentra,2019,14900.0,42800.0,Red,Manual,2026-08-20,Private,False
L-1027,D-02,Honda,Civic,2021,22400.0,18900.0,White,Automatic,2026-08-20,Dealer,False
L-1028,D-01,Toyota,Prius,2018,19300.0,41943.0,Silver,Automatic,2026-08-21,CarMax,False
L-1029,,Hyundai,Tucson,2017,15200.0,89400.0,Unknown,Manual,2026-08-21,Private,False
L-1030,D-03,Ford,F-150,1015,27800.0,54000.0,Blue,Automatic,2026-08-22,Dealer,True
L-1031,,Chevrolet,Cruze,2015,8900.0,121300.0,Gray,Automatic,2026-08-22,Private,False
L-1032,D-04,Toyota,4Runner,2019,34100.0,39700.0,Black,Automatic,2026-08-23,Dealer,False
L-1033,,Honda,Accord,2016,13850.0,-1200.0,Unknown,Automatic,2026-08-23,Private,True
L-1034,D-01,Nissan,Murano,2018,18700.0,71000.0,White,Automatic,2026-08-24,CarMax,False
L-1035,D-05,Ford,Ranger,2020,26300.0,27400.0,Red,Manual,2026-08-24,Dealer,False
L-1036,,Toyota,Sienna,2014,11400.0,138000.0,Silver,Automatic,2026-08-24,Private,False
L-1037,D-02,Hyundai,Santa Fe,2019,20900.0,46200.0,Unknown,Automatic,2026-08-24,Dealer,False
L-1038,D-01,Honda,HR-V,2020,19800.0,33900.0,Blue,Automatic,2026-08-25,CarMax,False
L-1039,,Chevrolet,Traverse,2017,17600.0,59092.0,Gray,Automatic,2026-08-25,Private,False
L-1040,D-03,Ford,Mustang,2018,25400.0,41000.0,Red,Manual,2026-08-25,Dealer,False
L-1042,,Nissan,Frontier,2016,16850.0,103000.0,Unknown,Automatic,2026-08-25,Auction,False
L-1043,,Honda,Fit,2019,14100.0,36600.0,White,Automatic,2026-08-26,Private,False
